S07LSAT8_Lazurite_GDS792_RussianPrem_ASDFRa_AREF.txt,impervious,0.25563276,0.093432032,0.10001951,0.39110181,0.5676803,0.5750308
S07LSAT8_Malachite_GDS801_synthetic_ASDFRa_AREF.txt,impervious,0.36323747,0.33981672,0.1617199,0.11273267,0.3316837,0.39088517
S07LSAT8_Manganese_violet_GDS804_ASDFRa_AREF.txt,impervious,0.069097236,0.026560139,0.1664525,0.15478645,0.38977438,0.34377992
S07LSAT8_Natural_umber_GDS809_(raw)_ASDFRa_AREF.txt,impervious,0.014690793,0.025808176,0.042444333,0.067712024,0.088419512,0.09023419
S07LSAT8_Nickel_Powder_SA-268283_lt1um_ASDFRa_AREF.txt,impervious,0.052889235,0.058626883,0.063377537,0.066267654,0.0742561,0.074998833
S07LSAT8_Nickel_Powder_SA-577995_nano_ASDFRa_AREF.txt,impervious,0.014408435,0.015081315,0.01563251,0.015526109,0.016480757,0.017341321
S07LSAT8_Nylon_Fabric_GDS436_BlkCoatd_ASDFRa_AREF.txt,impervious,0.13714628,0.13183837,0.13483164,0.35964081,0.59928334,0.38084146
S07LSAT8_Oil_BlackPoolonBeach_DWO-06b_ASDFRa_AREF.txt,impervious,0.022694621,0.023814637,0.027915228,0.048130412,0.12253196,0.053159267
S07LSAT8_Oil_Water_Benzene10_DWH10-3_ASDHRa_AREF.txt,impervious,0.009132429,0.031940941,0.093101084,0.29553795,0.24738736,0.1190282
S07LSAT8_Oil_Water_Benzene17_DWH10-3_ASDHRa_AREF.txt,impervious,0.007988783,0.029701138,0.089145645,0.29029235,0.25102624,0.12141442
S07LSAT8_Oil_waterEmuls._DWO-3-BAT-09_ASDFRa_AREF.txt,impervious,0.048789561,0.053146921,0.064587444,0.10228849,0.081937075,0.053812269
S07LSAT8_Oil01_Water99_DWH10-3_28mm_ASDHRb_AREF.txt,impervious,0.041080177,0.095087044,0.17987065,0.2873162,0.11402472,0.071314216
S07LSAT8_Oil01_Water99_DWH10-3_foam_ASDHRb_AREF.txt,impervious,0.1146794,0.15007395,0.20718871,0.33897242,0.18379715,0.085475132
